Units,Fall,Winter,Spring,Summer,URL,Title,Course,Program
5,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32267092,ED X301D.5 - Single Case Experimental Design,ED X301D.5 - Single Case Experimental Design,"QBA#main, BCBA#main"
5,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32267252,"ED X309A.5 - Philosophical Underpinnings, Concepts, and Principles Part I","ED X309A.5 - Philosophical Underpinnings, Concepts, and Principles Part I","QBA#main, BCBA#main"
5,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32267279,"ED X309B.5 - Philosophical Underpinnings, Concepts, and Principles Part II","ED X309B.5 - Philosophical Underpinnings, Concepts, and Principles Part II","QBA#main, BCBA#main"
5,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32356189,"ED X309C.5 - Procedures, Interventions, and Supervision","ED X309C.5 - Procedures, Interventions, and Supervision","QBA#main, BCBA#main"
1,Online (self-paced),Online (self-paced),Online (self-paced),Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=35871937,ED X309D.5 - ABA Competency Course*,ED X309D.5 - ABA Competency Course*,"QBA#main, BCBA#main"
4,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=36102812,ED X310A - What's Next: Navigating Life after School,ED X310A - What's Next: Navigating Life after School,BSS#main
5,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=42197013,ED X310A.5 - Organizational Behavior Management in Applied Settings,ED X310A.5 - Organizational Behavior Management in Applied Settings,BCBA#main
4,N/A,Online,N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=37187206,ED X310B - Registered Behavior Technician Training,ED X310B - Registered Behavior Technician Training,BSS#main
3,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=39154767,ED X310C - Basics of ABA and Clinical Intervention Strategies,ED X310C - Basics of ABA and Clinical Intervention Strategies,BSS#sub
3,N/A,Online (self-paced),N/A,N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=39154984,ED X310D - Introduction to Naturalistic Developmental Behavioral Intervention (NDBI),ED X310D - Introduction to Naturalistic Developmental Behavioral Intervention (NDBI),BSS#sub
3,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=40349090,ED X310E - Development and Needs of Children with Autism,ED X310E - Development and Needs of Children with Autism,BSS#sub
3,N/A,N/A,Online (self-paced),N/A,https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=40349284,ED X310F - Assessment of Children with Autism,ED X310F - Assessment of Children with Autism,BSS#sub
5,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=32356936,ED X312.1.5 - Cognitive Development in Autism & Other Severe Disabilities,ED X312.1.5 - Cognitive Development in Autism & Other Severe Disabilities,"QBA#main, BCBA#sub"
5,N/A,N/A,N/A,Online (self-paced),https://enroll.professional.ucsb.edu/search/publicCourseSearchDetails.do?method=load&courseId=33441837,"ED X315 - Philosophical Underpinnings, Concepts, and Principles","ED X315 - Philosophical Underpinnings, Concepts, and Principles","QASPS#main, BCaBA#main"
